year,date,city,venue,teams,match_number,stage,toss_winner,toss_decision,first_inning_runs,first_inning_overs,first_inning_wickets,second_inning_runs,second_inning_overs,second_inning_wickets,winner,won_by_runs,won_by_wickets,player_of_match,super_over
2008,2008-04-18,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Kolkata Knight Riders""}",1,,Royal Challengers Bangalore,field,222,20,3,82,15.2,10,Kolkata Knight Riders,140,,"{""BB McCullum""}",f
2008,2008-04-19,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Rajasthan Royals""}",3,,Rajasthan Royals,bat,129,20,8,132,15.1,1,Delhi Daredevils,,9,"{""MF Maharoof""}",f
2008,2008-04-19,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Chennai Super Kings""}",2,,Chennai Super Kings,bat,240,20,5,207,20,4,Chennai Super Kings,33,,"{""MEK Hussey""}",f
2008,2008-04-20,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Deccan Chargers""}",4,,Deccan Chargers,bat,110,18.4,10,112,19,5,Kolkata Knight Riders,,5,"{""DJ Hussey""}",f
2008,2008-04-20,Mumbai,Wankhede Stadium,"{""Mumbai Indians"",""Royal Challengers Bangalore""}",5,,Mumbai Indians,bat,165,20,7,166,19.5,5,Royal Challengers Bangalore,,5,"{""MV Boucher""}",f
2008,2008-04-21,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Punjab Kings""}",6,,Punjab Kings,bat,166,20,8,168,18.1,4,Rajasthan Royals,,6,"{""SR Watson""}",f
2008,2008-04-22,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Delhi Daredevils""}",7,,Deccan Chargers,bat,142,20,8,143,13.1,1,Delhi Daredevils,,9,"{""V Sehwag""}",f
2008,2008-04-23,Chennai,"MruA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Mumbai Indians""}",8,,Mumbai Indians,field,208,20,5,202,20,7,Chennai Super Kings,6,,"{""ML Hayden""}",f
2008,2008-04-24,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Rajasthan Royals""}",9,,Rajasthan Royals,field,214,20,5,217,19.5,7,Rajasthan Royals,,3,"{""YK Pathan""}",f
2008,2008-04-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Mumbai Indians""}",10,,Mumbai Indians,field,182,20,10,116,20,9,Punjab Kings,66,,"{""KC Sangakkara""}",f
2008,2008-04-26,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Rajasthan Royals""}",12,,Rajasthan Royals,field,135,20,8,138,17.1,3,Rajasthan Royals,,7,"{""SR Watson""}",f
2008,2008-04-26,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Kolkata Knight Riders""}",11,,Kolkata Knight Riders,bat,147,20,9,152,17,1,Chennai Super Kings,,9,"{""JDP Oram""}",f
2008,2008-04-27,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Delhi Daredevils""}",13,,Delhi Daredevils,bat,158,20,8,162,19.3,6,Punjab Kings,,4,"{""SM Katich""}",f
2008,2008-04-27,Mumbai,Dr DY Patil Sports Academy,"{""Mumbai Indians"",""Deccan Chargers""}",14,,Deccan Chargers,field,154,20,7,155,12,0,Deccan Chargers,,10,"{""AC Gilchrist""}",f
2008,2008-04-28,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",15,,Chennai Super Kings,bat,178,20,5,165,19.4,10,Chennai Super Kings,13,,"{""MS Dhoni""}",f
2008,2008-04-29,Kolkata,Eden Gardens,"{""Kolkata Knight Riders"",""Mumbai Indians""}",16,,Kolkata Knight Riders,bat,137,20,8,138,18.4,3,Mumbai Indians,,7,"{""ST Jayasuriya""}",f
2008,2008-04-30,Delhi,Feroz Shah Kotla,"{""Delhi Daredevils"",""Royal Challengers Bangalore""}",17,,Royal Challengers Bangalore,field,191,20,5,181,20,5,Delhi Daredevils,10,,"{""GD McGrath""}",f
2008,2008-05-01,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","{""Deccan Chargers"",""Punjab Kings""}",19,,Punjab Kings,field,164,20,8,167,19,3,Punjab Kings,,7,"{""SE Marsh""}",f
2008,2008-05-01,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Kolkata Knight Riders""}",18,,Rajasthan Royals,bat,196,20,7,151,19.1,10,Rajasthan Royals,45,,"{""SA Asnodkar""}",f
2008,2008-05-02,Chennai,"MA Chidambaram Stadium, Chepauk","{""Chennai Super Kings"",""Delhi Daredevils""}",20,,Chennai Super Kings,bat,169,20,6,172,19,2,Delhi Daredevils,,8,"{""V Sehwag""}",f
2008,2008-05-03,Chandigarh,"Punjab Cricket Association Stadium, Mohali","{""Punjab Kings"",""Kolkata Knight Riders""}",22,,Punjab Kings,bat,178,20,6,169,20,6,Punjab Kings,9,,"{""IK Pathan""}",f
2008,2008-05-03,Bangalore,M Chinnaswamy Stadium,"{""Royal Challengers Bangalore"",""Deccan Chargers""}",21,,Deccan Chargers,field,156,20,8,153,20,6,Royal Challengers Bangalore,3,,"{""P Kumar""}",f
2008,2008-05-04,Jaipur,Sawai Mansingh Stadium,"{""Rajasthan Royals"",""Chennai Super Kings""}",24,,Chennai Super Kings,bat,109,19,10,110,14.2,2,Rajasthan Royals,,8,"{""Sohail Tanvir""}",f
2008,2008-05-04,Mumbai,Dr DY Patil Sports Academy,"{""Mumbai Indians"",""Delhi Daredevils""}",23,,Delhi Daredevils,field,162,20,8,133,18.5,10,Mumbai Indians,29,,"{""SM Pollock""}",f
