player,year,team
LR Shukla,2008,Kolkata Knight Riders
AB Dinda,2008,Kolkata Knight Riders
Salman Butt,2008,Kolkata Knight Riders
Umar Gul,2008,Kolkata Knight Riders
BJ Hodge,2008,Kolkata Knight Riders
A Chopra,2008,Kolkata Knight Riders
DJ Hussey,2008,Kolkata Knight Riders
SC Ganguly,2008,Kolkata Knight Riders
AB Agarkar,2008,Kolkata Knight Riders
BAW Mendis,2008,Kolkata Knight Riders
DB Das,2008,Kolkata Knight Riders
Shoaib Akhtar,2008,Kolkata Knight Riders
M Kartik,2008,Kolkata Knight Riders
BB McCullum,2008,Kolkata Knight Riders
RT Ponting,2008,Kolkata Knight Riders
I Sharma,2008,Kolkata Knight Riders
T Taibu,2008,Kolkata Knight Riders
Mohammad Hafeez,2008,Kolkata Knight Riders
WP Saha,2008,Kolkata Knight Riders
Iqbal Abdulla,2008,Kolkata Knight Riders
P Amarnath,2008,Chennai Super Kings
SP Fleming,2008,Chennai Super Kings
L Balaji,2008,Chennai Super Kings
S Anirudha,2008,Chennai Super Kings
A Mukund,2008,Chennai Super Kings
JA Morkel,2008,Chennai Super Kings
MS Gony,2008,Chennai Super Kings
SK Raina,2008,Chennai Super Kings
S Badrinath,2008,Chennai Super Kings
MEK Hussey,2008,Chennai Super Kings
PA Patel,2008,Chennai Super Kings
JDP Oram,2008,Chennai Super Kings
M Ntini,2008,Chennai Super Kings
CK Kapugedera,2008,Chennai Super Kings
ML Hayden,2008,Chennai Super Kings
Joginder Sharma,2008,Chennai Super Kings
S Vidyut,2008,Chennai Super Kings
M Muralitharan,2008,Chennai Super Kings
MS Dhoni,2008,Chennai Super Kings
GC Smith,2008,Rajasthan Royals
M Kaif,2008,Rajasthan Royals
RA Jadeja,2008,Rajasthan Royals
YK Pathan,2008,Rajasthan Royals
T Kohli,2008,Rajasthan Royals
SK Warne,2008,Rajasthan Royals
Sohail Tanvir,2008,Rajasthan Royals
NK Patel,2008,Rajasthan Royals
DS Lehmann,2008,Rajasthan Royals
SA Asnodkar,2008,Rajasthan Royals
SR Watson,2008,Rajasthan Royals
MM Patel,2008,Rajasthan Royals
Younis Khan,2008,Rajasthan Royals
D Salunkhe,2008,Rajasthan Royals
AD Mascarenhas,2008,Rajasthan Royals
Pankaj Singh,2008,Rajasthan Royals
SK Trivedi,2008,Rajasthan Royals
M Rawat,2008,Rajasthan Royals
Kamran Akmal,2008,Rajasthan Royals
SM Katich,2008,Punjab Kings
S Sreesanth,2008,Punjab Kings
PP Chawla,2008,Punjab Kings
SE Marsh,2008,Punjab Kings
RR Sarwan,2008,Punjab Kings
LA Pomersbach,2008,Punjab Kings
B Lee,2008,Punjab Kings
DPMD Jayawardene,2008,Punjab Kings
Yuvraj Singh,2008,Punjab Kings
RR Powar,2008,Punjab Kings
JR Hopes,2008,Punjab Kings
IK Pathan,2008,Punjab Kings
K Goel,2008,Punjab Kings
KC Sangakkara,2008,Punjab Kings
P Dharmani,2008,Punjab Kings
S Sohal,2008,Punjab Kings
TM Srivastava,2008,Punjab Kings
U Kaul,2008,Punjab Kings
Gagandeep Singh,2008,Punjab Kings
WA Mota,2008,Punjab Kings
VRV Singh,2008,Punjab Kings
R Dravid,2008,Royal Challengers Bangalore
S Chanderpaul,2008,Royal Challengers Bangalore
SP Goswami,2008,Royal Challengers Bangalore
A Kumble,2008,Royal Challengers Bangalore
MV Boucher,2008,Royal Challengers Bangalore
DT Patil,2008,Royal Challengers Bangalore
J Arunkumar,2008,Royal Challengers Bangalore
R Vinay Kumar,2008,Royal Challengers Bangalore
AA Noffke,2008,Royal Challengers Bangalore
P Kumar,2008,Royal Challengers Bangalore
JH Kallis,2008,Royal Challengers Bangalore
CL White,2008,Royal Challengers Bangalore
LRPL Taylor,2008,Royal Challengers Bangalore
Misbah-ul-Haq,2008,Royal Challengers Bangalore
SB Joshi,2008,Royal Challengers Bangalore
